words,sentence,filename
"['OK-prügimägi-prygimägi', 'OK-nüüd-nyyd', 'OK-üle-yle', 'OK-küll-kyll']",pääskyla prygimägi on juba suletud nyyd on need inimesed sealt linnatänavatele yle kolinud ei ole ohutu nendega sama transat kyll jagada see miks linn neid ei kasi ja ei majuta jne . on hoopis teine teema .,Failid_ettenten_retaggered/www_epl_ee__267965.json
['OK-näiteks-nüiteks'],"See on küll vajalik samm , sest nüiteks kõik need inimesed , kes ei oma autot ja ei ole võimalust seda ka kunagi osta , nagu ka mina , miks peaksin päevast päeva eluaeg viibima tööle minnes ja tulles võikalt haisvate ja istekohti reostavate inimestega koos ja maksma veel selle eest , et saan niimoodi tööl käia .",Failid_ettenten_retaggered/www_epl_ee__267965.json
['OK-igapäevaelu-igapüevaelu'],"Ja see pole liialdus vaid tavaline igapüevaelu , lisaks on paljud väga häirivad , kellega minul kõll mingit tahtmist pole vestelda ega nende soove kuulata .",Failid_ettenten_retaggered/www_epl_ee__267965.json
['OK-töötaja-tõõtaja'],Hetekl kui munpo pol tõõtaja puudutab hiv haiget kodutut tuleb riigil ja linnal maksta tasu ja teadagi palka kuni toitjakaotuseni välja .,Failid_ettenten_retaggered/www_epl_ee__267965.json
['NAME-kõik-Kuik'],Tõnu rolli olevat Valentin Kuik kirjutatud just nimelt Tõnu Kargile .,Failid_ettenten_retaggered/www_epl_ee__328824.json
['NAME-kõik-Kuik'],"Filmi käimalükkamine läks halvasti , kuna filmi lavastama pidanud stsenaariumi autor Valentin Kuik oli sunnitud loobuma .",Failid_ettenten_retaggered/www_epl_ee__328824.json
['NAME-kõik-Kuik'],Stsenarist Kuik ei ole oma stsenaariumi realiseerumisega täiesti rahul .,Failid_ettenten_retaggered/www_epl_ee__328824.json
"['OK-üle-ûle', 'OK-üks-ûks']","Nendest saab maasturiga kergelt ûle sôita ja vahepeal saab pargitud nii , et ûks ratas in selle nômeda betoonkamaka peal .",Failid_ettenten_retaggered/www_epl_ee__377705.json
['OK-nõus-nöus'],Täiesti nöus selle kommentaariga .,Failid_ettenten_retaggered/www_epl_ee__381781.json
['OK-kõrgharidus-körgharidus'],Minu arust oli nn. vene aja körgharidus mönel erialal ikka täiesti allpool igasugust arvestust .,Failid_ettenten_retaggered/www_epl_ee__381781.json
['OK-põhjus-pöhjus'],"Üks pöhjus on see , et lääne poolt ei saanud tarkusi juurde ja ida pool neid lihtsalt polnud .",Failid_ettenten_retaggered/www_epl_ee__381781.json
['OK-seetõttu-seetöttu'],"Minu eriala seetöttu kannatas väga , ja siiamaani on nn. idapool sellega kehvad lood , önneks hakkab rahvast juba lääne riikides tarkust omandamas käima .",Failid_ettenten_retaggered/www_epl_ee__381781.json
['OK-jää-juu'],"Samuti on Strandberg alati vastu nende inimeste soovidele , kes tahaksid elada "" nagu "" maal ( mida juu võimaldab suhteliselt eraldatud krunt-maalapike ) ja samal ajal tarbida ja osa saada kesklinna heaolust .",Failid_ettenten_retaggered/www_epl_ee__383529.json
['OK-pääle-pääle'],Te tolad suure tuhinaga kogu alkoexpordi kinni keerate ja salakas ning puskar pääle selliseid napakaid ettevõtmisi ruulivad täiega .,Failid_ettenten_retaggered/www_epl_ee__385425.json
['OK-süü-s--'],"Kolm aastat on kiirabi koristanud EV olematu sotsiaalpoliitika s-- ahunnikuid oma töötajate närvide hinnaga , madala palga ja tapva koormusega .",Failid_ettenten_retaggered/www_epl_ee__389121.json
['OK-kõvasti-kōvasti'],"Palju jōudu uurijatele , sest uurida on reformi rahaasjades kōvasti .",Failid_ettenten_retaggered/www_epl_ee__494425.json
['OK-kõik-kōik'],"Mōelge ise , kui palju tehti teles ja raadios enne valimisi reklaami - Ansip istumas kuldtoolis , reformi reklaamklipid praktiliselt üle ühe reklaami , kōik need suured plakatid jne , jne - , kuid kulud olid üllatavalt väikesed ning maksti ära silma pilgutamata .",Failid_ettenten_retaggered/www_epl_ee__494425.json
['OK-küla-KELA'],"Soome pensioniameti ( KELA ) professori ja juhtivteaduri Paula Hakala põhjalikust uurimistööst selgub , et igal teisel tüdrukul on probleemiks kaela- ja õlavalud , iga kuues tüdruk kaebab alaseljavalude üle .",Failid_ettenten_retaggered/www_epl_ee__494749.json
['OK-tõesti-toesti'],Voiks olla toesti 30 35 euri visiidtasu .,Failid_ettenten_retaggered/www_epl_ee__496030.json
"['OK-üles-yles', 'OK-püha-pyha', 'OK-püha-pyha']","Selleks oleme kutsunud yles kõik õed vennad , pyha yrituse teenistusse , peame kahe nädalaga olema valmis pyha maa kaitseks .",Failid_ettenten_retaggered/www_epl_ee__497342.json
['OK-nüüd-nyyd'],Te hakkate nyyd elama kokkuhoius nagu eestlased .,Failid_ettenten_retaggered/www_epl_ee__499141.json
['OK-sõna-söna'],"Nuh , tahaks söna sekka öelda , väitega , et söjaajal ei kehti "" rahu "" tingimused .",Failid_ettenten_retaggered/www_epl_ee__502130.json
['OK-jõud-jöud'],"Olukorras , kus näeme Venemaa eriteenistuste puudlusi vahetada riigi valitsust , kus teadlikult puutakse destabiliseerida olukorda riigis tunduvad antud arvamused , milledega on esile tulnud härrased Kivirähk ning hr. Raud riigireetmisena , sest selliseid kirjutisi ootavad ka meile vaenulikud jöud , kes arvestavad teatud demokraatia olemasoluga Eestis .",Failid_ettenten_retaggered/www_epl_ee__502130.json
"['OK-või-vöi', 'OK-sõna-söna']","See jutt harmooniast töstis tunduvalt minu meeleolu , sest tuli meelde see vana , noh oli vist anektoot vöi midagi taolist , kus mägilane höiskles mägedes mingi "" mati "" sisulise söna .. ja taamal kostus vastuseks mat , mat , mat - oli vist midagi taolist .",Failid_ettenten_retaggered/www_epl_ee__502130.json
['OK-ühte-ûhte'],Tean kah ûhte sellist vanamuti kes hooldab vanainimesi .,Failid_ettenten_retaggered/www_epl_ee__574681.json
"['OK-välja-vålja', 'OK-ümber-ymber']","kui noorem vend vanamehest vålja ei tee , siis tuleb iga testament ymber teha .",Failid_ettenten_retaggered/www_epl_ee__574681.json
['OK-pää-p--'],"Aina segasemaks lähevad , endal p---e paljas , Moskvast kaugemal ei saa inimesed aasta-poolteist palka , paluvad nuttes keskvõimult abi , aga sel on p-- i , elatuvad oma juurikatest . , jne .",Failid_ettenten_retaggered/www_epl_ee__582813.json
['OK-võimalik-vöimalik'],"Saksamaa ja Prantsusmaa ei ole siiamaani olnud huvitatud nende "" kodanike "" integreerumisest , et aidata ned isikud järjele ja pakkuda vöimalusi , mida teistel kodanikel on vöimalik kasutada .",Failid_ettenten_retaggered/www_epl_ee__586952.json
['OK-igaüks-Igayks'],"Igayks usub seda , mida tahab .",Failid_ettenten_retaggered/www_epl_ee__596329.json
"['OK-võimalik-vöimalik', 'OK-sõna-söna']","Tänapäeval on internetist vöimalik söna otseses möttes köike lugeda - "" teaduslike uuringute tulemustena "" serveeritakse köikvöimalikke seisukohti , millest paljudel pole teadusega mitte mingit pistmist .",Failid_ettenten_retaggered/www_epl_ee__596329.json
"['NAME-üks-Yks', 'OK-ülim-ylim', 'OK-tõde-töde', 'OK-üldtunnustatud-yldtunnustatud']",""" Yks arst ytles "" on ylim töde , kuid ainult juhul , kui tema seisukoht hetkel yldtunnustatud seisukohaga risti vastupidine on , sest see sobib "" oma peaga mötlevatele inimestele "" ( loe : neile , kel on körgenenud tarve tunda end targemana ja paremana ) .",Failid_ettenten_retaggered/www_epl_ee__596329.json
['OK-üldsegi-yldsegi'],"Paraku on ikka nii , et kui me tahame elada loodusega kooskölas ja terve talupojamöistuse kohaselt , siis peame leppima ka sellega , et me ise oleme samuti looduse meelevallas ehk siis hakkabki toimima looduslik valik - see aga pole alati yldsegi meeldiv .",Failid_ettenten_retaggered/www_epl_ee__596329.json
"['OK-küll-kyll', 'OK-küsimus-kysimus']","Iseasi on see , kuidas haigustekitajad kohanevad ravimitega ja on kyll hea kysimus , kas ja mil määral vaktsiine tootvad firmad seda arvestavad .",Failid_ettenten_retaggered/www_epl_ee__596329.json
['OK-küljest-kyljest'],"Teisest kyljest , haigustekitajad ei kohane vaid ravimite ja selle suure kurja juure ehk vaktsiinidega , vaid ka keskkonnaga laiemas möttes .",Failid_ettenten_retaggered/www_epl_ee__596329.json
['OK-üks-Yks'],"Yks on aga kindel - maailm muutub järjest avatumaks , info kättesaadavamaks , kogu elus orienteerumine järjest raskemaks ja elu ise ettearvamatumaks .",Failid_ettenten_retaggered/www_epl_ee__596329.json
"['OK-igaüks-igayks', 'OK-võimalikult-vöimalikult']","Inimeste enesetunne on ebakindel ja igayks otsib eluviisi , mis tunduks vöimalikult turvaline .",Failid_ettenten_retaggered/www_epl_ee__596329.json
"['OK-sõbranna-söbranna', 'OK-või-vöi', 'OK-või-vöi']","Isegi olen korduvalt aastate jooksul kuulnud , et "" te räägite seda ainult sellepärast , et olete arst ja peate rääkima "" ja et "" tegelikult on hoopis nii .... mu ema söbranna ( vöi kes iganes ) teab , ta luges ( vöi tema tuttav rääkis ) .. jne "" .",Failid_ettenten_retaggered/www_epl_ee__596329.json
['OK-süüdi-syydi'],Nii et igal juhul on arst syydi .,Failid_ettenten_retaggered/www_epl_ee__596329.json
"['OK-küll-kyll', 'OK-või-vöi']","Lapsed kasvavad suureks , jäävad haigeks , saavad terveks ( kahjuks kyll mitte alati ) mölemal juhul - kas on vöi ei ole vaktsineeritud .",Failid_ettenten_retaggered/www_epl_ee__596329.json
['NAME-õnn-Unn'],"Sponsorina aitas karikasarja oma hobusesöödaga auhindadeks AS Farm Plant Eesti , samuti toetas karikasarja läbiviimist rahaliselt eraisik härra Unn .",Failid_ettenten_retaggered/www_esthorse_ee__5648.json
['NAME-söök-Suuk'],"- Esimese eestlannana 5B marsruutidel Helme Suuk , kes läbis Fani mägedes kolm 5B-kaljumarsruuti .",Failid_ettenten_retaggered/www_firn_ee__101395.json
['OK-hää-hää'],Kasahhi NSV-s kasahh olla polnud sugugi uhke ja hää .,Failid_ettenten_retaggered/www_folklore_ee__299604.json
['NAME-kõrs-Kurs'],"Pärast Nazpary lähetust on näiteks ühe kindlasti tõhusa sammuna viidud kasahhi keel üle ladina tähestikule ( vt Ott Kurs , Keel ja Kirjandus 2004 , nr 2 ) .",Failid_ettenten_retaggered/www_folklore_ee__299604.json
['NAME-mürin-Morin'],"Uurides kuulujuttude teket , levikut ja kadumist Prantsuse linnas Orleansis , väitis Edgar Morin , et kui lugu ei levi laialdaselt või teda ei kohandata kindlasse vormi , on just äärmine täpsus aja ja ruumi esitamisel need faktorid , mis võivad põhjustada kuulujutu kadumise ja traditsiooni mitte sattumise .",Failid_ettenten_retaggered/www_folklore_ee__305834.json
['NAME-häda-Heda'],"Heda Jason kinnitas oma "" Journal of American Folklore "" ilmunud kirjutises , et Grimmide väide muistendite ajaloolisusest oli ekslik ja tuleb uuesti läbi vaadata ( Jason 1971 : 134 ) .",Failid_ettenten_retaggered/www_folklore_ee__305834.json
"['NAME-öine-Fine', 'NAME-öine-Fine']","Gary Alan Fine väitis linnajutte käsitlevas artiklis , et tänapäeva sotsio-psühholoogiline situatsioon täidab kaasaegsed muistendid just linnalikkusega ( Fine 1980 : 223 ) .",Failid_ettenten_retaggered/www_folklore_ee__305834.json
"['OK-öine-Fine', 'NAME-öine-Fine']","Fine kaitseb terminit kinnitades , et linn pole geograafiline , vaid pigem sotsio-psühholoogiline marker ( Fine 1980 ) .",Failid_ettenten_retaggered/www_folklore_ee__305834.json
['NAME-nõel-Noel'],"Noel Williams märkis tänapäeva muistendeid iseloomustades , et need pole tegelikult traditsioonilistest muistenditest lahutatavad , või kui on , siis vaid meie kui kultuuri edasikandjate isiklike suhtumiste tõttu ( Williams 1984 : 228 ) .",Failid_ettenten_retaggered/www_folklore_ee__305834.json
"['OK-öine-Fine', 'NAME-öine-Fine']",Fine käsitles narratiivitraditsiooni kui osa makro-kontekstist ja tähistas nimetusega kolmas jõud ameerika folklooris ( Fine 1988 : 352 - 353 ) .,Failid_ettenten_retaggered/www_folklore_ee__305834.json
['NAME-ära-Fra'],Fra Mare Thalasso SPA hotellis saab kõikide teenuste eest tasuda kaardimaksega .,Failid_ettenten_retaggered/www_framare_ee__636065.json
['NAME-ära-Fra'],"Fra Mare Thalasso SPA võimlemissaal on loodud Sinule , kes sa hindad oma tervist , vaimset ja füüsilist tasakaalu , meelerahu ning mugavust .",Failid_ettenten_retaggered/www_framare_ee__636065.json
['NAME-ära-Fra'],Anna endale või kogu perele ideaalne võimalus parandada füüsilist vormi Fra Mare Thalasso SPA võimlemissaalis .,Failid_ettenten_retaggered/www_framare_ee__636065.json
['NAME-ära-Fra'],"20-minutilise jalutuskäigu kaugusel Fra Mare Thalasso SPA-st on tänapäevane staadion , mille kõrval asub Haapsalu Veekeskus .",Failid_ettenten_retaggered/www_framare_ee__636065.json
['NAME-ära-Fra'],Soovi korral aitavad Fra Mare Thalasso SPA giidid broneerida aja tennise mängimiseks linna tennisehallis ja väliväljakutel .,Failid_ettenten_retaggered/www_framare_ee__636065.json
['NAME-õun-Fun'],Fun Bowlingu 10-rajaline saal on mõõdistatud ja saanud võistlussaali sertifikaadi .,Failid_ettenten_retaggered/www_funbowling_ee__306097.json
['OK-rändur-randur'],"26 juuni 2012 leidis Tarvo [ randur ] Olin seda kohta hoidnud juhuks , kui on vaja naist poest oodata .",Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['OK-õnn-ann'],"7 jaanuar 2011 leidis Ann [ ann ] Leid kiire , tagasipanekuga pidin natuke ootama .",Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['OK-nägu-nigu'],5 aprill 2009 leidis treims [ treims ] käes nigu nipsti .,Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['OK-hää-Hää'],Hää lihtne leid oli .,Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['NAME-päts-Pets'],5 juuni 2008 leidis Pets & Martin [ kadarik ] koordinaadid tundusid nagu veidike valed .,Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['NAME-päts-Pets'],"5 mai 2008 leidis Siim , abiks Kaarel ja Pets [ petskratt ] GPS tõesti jalutas kuhu juhtus , miska tuiasime jupp aega ümber võimalike peidupaikade - ja leidsime vahepeal muru pealt pedaalid .",Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['OK-lehekülg-lehekylg'],Logiraamatus algas viimane lehekylg .,Failid_ettenten_retaggered/www_geopeitus_ee__324330.json
['OK-ükshaaval-ykshaaval'],"3 juuli 2012 leidis [ mo ] ja [ unimilk ] [ mummi ] Enne meid oli ka seal jälgi tehtud aga vist ykshaaval , sest korralik georada ( nagu siga läbi rukki ) puudus .",Failid_ettenten_retaggered/www_geopeitus_ee__552366.json
['OK-üle-ple'],"Väga täpselt määramine ei õnnestunud ja digi ka ple et pilti teha , aga ehk järgmised leidjad teevad pildi ka ära , meie "" tigu "" nimelt kergesti eristatav sest ta teo moodi , teised kõik piklikud elajad .",Failid_ettenten_retaggered/www_geopeitus_ee__555616.json
['OK-nägu-nigu'],"3 juuni 2011 leidis L @ SSIE [ lassie ] Olin segi nigu siiliuks , kui leidsin arvutist teate , et jälle on pandud .",Failid_ettenten_retaggered/www_geopeitus_ee__555993.json
['NAME-käis-Kris'],"21 september 2008 leidis Kris , Tarmo ja Martin [ gpseurope ] Täna ( 20.06.09 ) siis lähenesime aardele ja asi tundus kuidagi kahtlaselt tuttav .",Failid_ettenten_retaggered/www_geopeitus_ee__604786.json
['OK-ükskord-úkskord'],"Otsisin ja otsisin sealt astelpajupóósast , kuni úkskord vihje meelde tuli .",Failid_ettenten_retaggered/www_geopeitus_ee__604786.json
['OK-õige-Óige'],"Óige kúnka kindlaks tegemine oli nats pähkel , kuid siin aitas naiselik loogika .",Failid_ettenten_retaggered/www_geopeitus_ee__604786.json
['OK-üsna-úsna'],Loogika óigsust kinnitas ka aarde leidmine úsna lihtsast kohast .,Failid_ettenten_retaggered/www_geopeitus_ee__604786.json
['NAME-käis-Kris'],"1 august 2009 leidis Kris ja Martin [ gpseurope ] Mugusid liikvel polnud , aare paljastus kiiresti , natuke jalutasime veel paadisillal ja oligi edasiminek .",Failid_ettenten_retaggered/www_geopeitus_ee__639579.json
"['OK-õnn-enn', 'OK-õnn-enn']","17 november 2007 leidis enn [ enn ] Ega seal palju otsida ei olnud vaja , koht oli loogiliselt aimatav .",Failid_ettenten_retaggered/www_geopeitus_ee__639579.json
['NAME-käis-Kris'],"27 juuni 2009 leidis Kris ja Martin [ gpseurope ] No ma ei tea , kuidas me suudame alati valida selle vale tee lähenemiseks , igastahes läksime seda mööda siis aardeni ja teist teed pidi välja .",Failid_ettenten_retaggered/www_geopeitus_ee__72252.json
['OK-õde-ide'],"Kuigi selle toote kohta praktiliselt puuduvad uurimistööd ( hetkel tehakse 4 sellealast uurimust ning Align veebilehel on ära toodud 30 kliinilist juhtumit ) , on Ameerika Ortodont ide Liidu president Michael Rennert kindel , et seda süsteemi saab edukalt kasutada teatud spetsiifilistel juhtudel ( nt täiskasvanute väikeste ortodontiliste probleemide ravil ) - see on lihtsalt järjekordne alternatiiv , mida ortodont saab oma töös kasutada .",Failid_ettenten_retaggered/www_hambaarst_ee__325727.json
['ENGLISH-õde-ade'],Küsimustele hambaravi hind ade kohta on raske vastata .,Failid_ettenten_retaggered/www_hambaarst_ee__337084.json
['ENGLISH-öine-fine'],"Mulle tundub , et asi polegi mitte niivõrd selles , et me ei otsinud fine dining ut , vaid et kohalikud inimesed oskavad head toitu hinnata ka ilma visuaalsete efektideta .",Failid_ettenten_retaggered/www_harilik_ee__7427.json
['NAME-mürin-Marin'],Takistust ületab Pärnumaa RSK esindaja Marin Varblane hobusel Parlament .,Failid_ettenten_retaggered/www_hobumaailm_ee__439553.json
['NAME-kõri-Küri'],"Meile lähematest riikidest osales kaks Rootsi paari , kellest Patrik Kittel ja Watermill Scandic H . B . C lõpetasid Küri neljandana ( 81.025% ) ning Minna Telde ja Santana kuuendana ( 76.350% ) .",Failid_ettenten_retaggered/www_hobumaailm_ee__539492.json
['OK-hõbe-Hebe'],Hebe on nende esimene oma hobune .,Failid_ettenten_retaggered/www_horsemarket_ee__634289.json
['NAME-hõbe-Hebe'],"Esimene oma tallis sündinu on Hebe laps Evita-Arma , huvitava tulemuse on andnud eestlase ja torika ristamine Ellika-Armaks ning Arma kaubamärgiga Rooma-Arma ja Risk-Arma on saadaval .",Failid_ettenten_retaggered/www_horsemarket_ee__634289.json
['OK-õpe-1Pe'],"Jeesus Kristus viis kõigi inimeste isiklikud patud – mineviku , oleviku ja tuleviku omad – omaenese ihus ristipuule ( 1Pe 2 : 24 ) ning vastas täiusliku Jumala ja täiusliku inimesena täielikult jumaliku õigusemõistmise nõuetele meie eest ( Rm 3 : 22 - 26 ) .",Failid_ettenten_retaggered/www_hosianna_ee__150245.json
['OK-hommikusöök-hommikusõõk'],"Toit maitsev ja rikkalik , eriti hommikusõõk .",Failid_ettenten_retaggered/www_hotelliveeb_ee__406173.json
['OK-kõrvale-körvale'],Pealmine kaart pööratakse paki körvale nähtavale .,Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-või-vöi'],"Kui kaartide hulgas on kümneid vöi ässasid , saab ta 10 punkti igaühe eest .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-võimalik-vöimalik'],"Kui see pole vöimalik , peab trumpi panema .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõrgem-körgem'],"Kord lauale pandud kaarte ei saa kasutada uutes kombinatsioonides , kui uus kombinatsioon on körgem endisest .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-sõdur-södur'],"SUUDLUS : poti emand ja ruutu södur , 40 punkti .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-sõdur-södur'],"TRUMBI PEREKOND : trumpmastist kaardid : äss , 10 , kuningas , emand , södur , 250 punkti .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-võitmine-VÖITMINE'],VÖITMINE : Bezique’i mängitakse enamasti 1000 punktini .,Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],"Kaartide järjestus vastab numbritele , äss on köige tugevam .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõik-köik'],"Viimased kaardid , mis jäid jagamata , pööratakse ringi , nii et köik neid näevad .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],TRUMBIMÄNG : Ümberpööratud kaartidest köige suurema mast saab trumbiks .,Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõik-köik'],"Pärast trumbi valimist vaatavad köik oma kaarte , eestkäsi vötab ümberpööratud kaardid endale ning paneb niisama palju kaarte käest ära , nii et teised neid ei näe .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-või-vöi'],"Need kaardid vöivad olla samad , mis ta vöttis , vöi mingid muud .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-võimalik-vöimalik'],"Alati on kohustus lüüa sama masti , mis ringi alustas , kui see ei ole vöimalik , peab lööma trumpi .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],"Trumbimängu löpus saab iga mängija nii palju punkte , kui tal on tihisid rohkem köige vähem tihisid vötnud mängijast .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],"Samas , köige vähem tihisid saanud mängija teenib mängust 0 punkti .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],"Estkäsi aga peab saama köige rohkem tihisid , muidu langeb temagi osaks null .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-võtmine-vötmine'],"ANDMINE : Andmist mängitakse samade reeglitega nagu eelmisigi , kuid trumpi ei ole ja nüüd on tihide vötmine kahjulik .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],"Iga mängija saab mängu löpus nii palju punkte , kui tal oli vähem köige rohkem tihisid saanud mängijast .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-Köige'],Köige rohkem tihisid saanud mängija teenib aga 0 punkti .,Failid_ettenten_retaggered/www_hot_ee__14785.json
['OK-kõige-köige'],"Eestkäsi peab saama köige vähem tihisid , muidi väärib ka tema 0 punkti .",Failid_ettenten_retaggered/www_hot_ee__14785.json
"['OK-võitmine-VÖITMINE', 'OK-kõik-köik']","VÖITMINE : Kui köik kolm mängu on mängitud , loetakse punktid kokku ja ... SULUSTAMINE Sulustamine on võrgu juures olevate mängijate tegevus vastaspoolelt tuleva palli peatamiseks , kusjuures kaks ülestõstetud kätt viiakse võrgu ülemisest äärest kõrgemale SULUSTAMINE JA VÕISTKONNA PALLILÖÖKIDE ARV * Sulustamisel toimunud pallipuudet ei loeta võistkonna pallipuudete hulka tingimusel , et sulustamisel oli ainult üks puude .",Failid_ettenten_retaggered/www_hot_ee__14785.json
['NAME-nüi-Nei'],"Meie ajani on jõudnud umbes 6000 hiina meditsiini traktaati ja raamatut , neist vanim on 2000 aasta tagune traktaat Nei Jin .",Failid_ettenten_retaggered/www_hot_ee__431227.json
['OK-või-vüi'],"Nonii , minu sõnum läks niigi pikaks ja ma ei hakka sind pikemalt kinni hoidma , eriti kui sul on mõni kaubamärk , toote- vüi teenuse nimeline domeen ikka veel registreerimata .",Failid_ettenten_retaggered/www_innovationfestival_ee__47798.json
['OK-rüü-rss'],"Innovatsiooniuudiste lehele olen koondanud enamike intellektuaalomandi , innovatsiooni , ettevõtluse , tehnoloogia jms alaste lehekülgede rss vood , et uudiseid ja uusi postitusi oleks võimalikult mugav ühel lehel jälgida .",Failid_ettenten_retaggered/www_innovationfestival_ee__47798.json
['OK-sõda-sida'],Väär ­ tuslikuma kauba eest saaks kü ­ sida ka paremat hinda .,Failid_ettenten_retaggered/www_innovationfestival_ee__570379.json
['OK-õis-vis'],""" Et Ettevõtluse Arendamise Sihtasutuselt raha saada , on tar ­ vis omaosalust .",Failid_ettenten_retaggered/www_innovationfestival_ee__570379.json
['OK-tõde-tide'],"Tähelepanu tuleks suunata sellele , kuidas vähendada vors ­ tide soola- ja rasvasisaldust .",Failid_ettenten_retaggered/www_innovationfestival_ee__570379.json
['OK-õis-tis'],"Lõviosa sellest , 30 miljonit krooni , võt ­ tis kõvakaaneliste raamatute liin Sigloch Kolbus .",Failid_ettenten_retaggered/www_innovationfestival_ee__572402.json
['OK-õis-tis'],Teine täh ­ tis ost oli trükiplaate valmistav Heidelberg Suprasetter 105 koos tarkvaraga .,Failid_ettenten_retaggered/www_innovationfestival_ee__572402.json
['OK-õis-ris'],• 2008. aastal investee ­ ris 30 miljonit krooni kõvakaaneliste raama ­ tute liini ja 3 miljonit krooni trükiplaatide masinasse .,Failid_ettenten_retaggered/www_innovationfestival_ee__572402.json
['OK-müük-MEEK'],"Projektid maksumusega vahemikus 0.5 - 6 MEUR ( umbes 7.5 - 90 MEEK ) , kus kaasrahastajateks on kasusaaja ja riiklikud ning rahvusvahelised finantsinstitutsioonid ja fondid .",Failid_ettenten_retaggered/www_ippc_envir_ee__151436.json
['OK-töövõime-töövöime'],"Eesmäriks on psüühikahäiretest taastujate sotsiaalse kaasatuse suurendamine , töövöime ja töövalmiduse taastamine .",Failid_ettenten_retaggered/www_iseseisev-elu_ee__423856.json
['NAME-märk-Mirk'],Krislin Padjus ja Merli Mirk andsid ülevaate Tammistu tööharjutuskeskuse igapäevaelust ja tulevikuplaanidest .,Failid_ettenten_retaggered/www_iseseisev-elu_ee__423856.json
['OK-üle-ile'],President Toomas Hendrik Ilves annab täna Kadriorus Peeter Laud ile üle Vabariigi Presidendi Kultuurirahastu noore teadlase preemia summas 4800 eurot .,Failid_ettenten_retaggered/www_itl_ee__161017.json
['OK-üha-jha'],Ülevaade on ka suvisest Helsingi EM-ist jha TV 10 Olümpiastardi 41. hooajast .,Failid_ettenten_retaggered/www_jooksja_ee__160419.json
['OK-võsa-VESA'],"Kogu arvuti kinnitub teleri tagaküljele , kasutades VESA kinnitusi .",Failid_ettenten_retaggered/www_kahvel_ee__191701.json
['NAME-käes-Kies'],"Alternatiivina saab Jelly Beani paigaldada ka arvuti abil , kasutades selleks Samsungi Kies nime kandvat tarkvarapaketti .",Failid_ettenten_retaggered/www_kahvel_ee__626874.json
['NAME-rõõm-Reem'],"Eredaima näitena jäi meelde Egiptuse revolutsiooni ajal Alexandrias peetud alternatiivne kunstide festival , mille turvamiseks suutis nooruke korraldaja Reem Kasseem sõjaväelt välja kaubelda 8 tanki .",Failid_ettenten_retaggered/www_keskraamatukogu_ee__14032.json
['NAME-bänd-Band'],The Experimental Tropic Blues Band ei peljanud tõesti eksperimente .,Failid_ettenten_retaggered/www_keskraamatukogu_ee__163196.json
"['OK-väel-viel', 'OK-väel-viel']",Ju kuulõmõ tämä tegemistest edekohe viel – Kaido oli egänes nõudus meitele viel riäkmä kui mõnda uvitavat suurõ mere piäl sündüde .,Failid_ettenten_retaggered/www_kihnumereselts_ee__515305.json
['NAME-müra-Mara'],"Efesose Johannes kirjeldab üht säärast askeeti , nimega Mara , kes Justinianuse ajal toimunud tagakiusamiste pärast läheb ise pealinna ja kuningapaarile valimatuid sõnu näkku heidab , kandes kuningakojas audientsil oma harilikku rõivastust , mis oli tuhandest riideräbalast kokku lapitud .",Failid_ettenten_retaggered/www_kirikiri_ee__535643.json
['OK-tõsi-tusi'],"Olulised on õiged võtted : 1 ) mitte kasutada tähenime- tusi ( P = pee , H = ahh või aś ) , vaid häälikuid ; 2 ) häälikukaupa sujuvalt nagu hääli- des ; 3 ) kahekordsed tähed tähistavad ühte häälikut , seda venitada pikemalt .",Failid_ettenten_retaggered/www_kliinik_ee__298190.json
